"DocumentNode","DocumentLevel","Title","Owner","FolderFlag","FileName","FileExtension","Revision","ChangeNumber","Status","DocumentSummary","rowguid","ModifiedDate"
"/","0","Documents","217","True","Documents","","0    ","0","2","","27cf33af-c338-4842-966c-75ca11aaa6a3","12/13/2017 1:58:03 PM"
"/1/","1","Overview","217","True","Overview","","0    ","0","2","","26a266f1-1d23-40e2-af48-6ab8d954fe37","12/13/2017 1:58:03 PM"
"/1/1/","2","Introduction 1","219","False","Introduction 1.doc",".doc","4    ","28","2","","48265174-8451-4967-973a-639c2276cfaf","5/30/2013 12:00:00 AM"
"/1/2/","2","Repair and Service Guidelines","220","False","Repair and Service Guidelines.doc",".doc","0    ","8","2","It is important that you maintain your bicycle and keep it in good repair. Detailed repair and service guidelines are provided along with instructions for adjusting the tightness of the suspension fork.

","7ed4def5-d5bb-4818-8748-5bb5f8315fa2","3/31/2008 12:00:00 AM"
"/2/","1","Maintenance","217","True","Maintenance","","0    ","0","2","","5184d96a-ee8c-499a-9316-625496784de6","12/13/2017 1:58:04 PM"
"/2/1/","2","Crank Arm and Tire Maintenance","219","False","Crank Arm and Tire Maintenance.doc",".doc","0    ","0","1","","d11b82b0-eb40-4a66-8193-15f765a61f05","10/19/2012 9:56:38 AM"
"/2/2/","2","Lubrication Maintenance","219","False","Lubrication Maintenance.doc",".doc","2    ","11","1","Guidelines and recommendations for lubricating the required components of your Adventure Works Cycles bicycle. Component lubrication is vital to ensuring a smooth and safe ride and should be part of your standard maintenance routine. Details instructions are provided for each bicycle component requiring regular lubrication including the frequency at which oil or grease should be applied. 
","2a8bd319-36fb-4fba-9e07-e303839f1974","5/30/2013 12:00:00 AM"
"/3/","1","Assembly","217","True","Assembly","","0    ","0","2","","f4f544ae-381a-4323-9a59-f5a629e21f46","12/13/2017 1:58:04 PM"
"/3/1/","2","Front Reflector Bracket and Reflector Assembly 3","220","False","Front Reflector Bracket and Reflector Assembly 3.doc",".doc","3    ","25","2","","82f61d73-0bf5-44ff-ab99-dd73aee9b9cc","4/30/2012 12:00:00 AM"
"/3/2/","2","Front Reflector Bracket Installation","220","False","Front Reflector Bracket Installation.doc",".doc","1    ","15","2","Reflectors are vital safety components of your bicycle. Always ensure your front and back reflectors are clean and in good repair. Detailed instructions and illustrations are included should you need to replace the front reflector or front reflector bracket of your Adventure Works Cycles bicycle.

","52f6be23-5363-4d93-96ae-f714b851e52c","4/30/2012 12:00:00 AM"
"/3/3/","2","Installing Replacement Pedals","220","False","Installing Replacement Pedals.doc",".doc","0    ","32","2","Detailed instructions for replacing pedals with Adventure Works Cycles replacement pedals.  Instructions are applicable to all Adventure Works Cycles bicycle models and replacement pedals. Use only Adventure Works Cycles parts when replacing worn or broken components. 
","7ee72c7e-9800-44c1-b82d-6e34e8289ca1","4/30/2012 12:00:00 AM"
"/3/4/","2","Seat Assembly","219","False","Seat Assembly.doc",".doc","8    ","55","2","Worn or damaged seats can be easily replaced following these simple instructions.  Instructions are applicable to these  Adventure Works Cycles models: Mountain 100 through Mountain 500. Use only Adventure Works Cycles parts when replacing worn or broken components. 

","79d41fe8-39d7-4591-9a05-285a3e1aafcb","4/30/2013 12:00:00 AM"
"/3/5/","2","Training Wheels 2","220","False","Training Wheels 2.doc",".doc","1    ","288","3","","b706c1d6-fb99-40b5-844c-6ee54701ba0d","5/30/2013 12:00:00 AM"
